"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R19","FP_0603_RES","295.276mil","2480.315mil","295.276mil","2480.315mil","330.709mil","2480.315mil","T","180.00","1K"
"R20","FP_0603_RES","118.11mil","2480.315mil","118.11mil","2480.315mil","153.543mil","2480.315mil","T","180.00","1K"
"R18","FP_0603_RES","1003.937mil","3248.032mil","1003.937mil","3248.032mil","968.504mil","3248.032mil","T","360.00","1K"
"Z3","SOD-80","354.331mil","3287.402mil","354.331mil","3287.402mil","422.244mil","3287.402mil","T","90.00","5V1"
"Z2","SOD-80","393.701mil","2755.905mil","393.701mil","2755.905mil","393.701mil","2687.992mil","T","360.00","3.6V"
"Z1","SOD-80","964.567mil","3326.772mil","964.567mil","3326.772mil","896.654mil","3326.772mil","T","270.00","18V"
"U5","FP_SO8_MS012AA","1062.992mil","2578.74mil","1062.992mil","2578.74mil","964.567mil","2653.74mil","T","0.00","LM358"
"U4","ANALOG_SOT23-5","334.114mil","2933.071mil","334.646mil","2933.071mil","282.402mil","2970.472mil","T","0.00","MCP6001T"
"U3","GATE_SOT23-5","629.39mil","2913.386mil","629.921mil","2913.386mil","577.677mil","2950.787mil","T","0.00","74AHC1G14"
"U2","GATE_SOT23-5","629.39mil","3051.181mil","629.921mil","3051.181mil","577.677mil","3088.583mil","T","0.00","74AHC1G14"
"U1","ANALOG_SOT23-5","1416.791mil","2303.15mil","1417.323mil","2303.15mil","1365.079mil","2340.551mil","T","0.00","INA168"
"T3","FET_SOT23","964.567mil","2992.126mil","964.567mil","2992.126mil","1001.968mil","2939.882mil","T","270.00","PMBF170"
"T2","FET_SOT23","1102.362mil","2992.126mil","1102.362mil","2992.126mil","1139.764mil","2939.882mil","T","270.00","PMBF170"
"T1","FET_D-PAK","1751.968mil","3110.236mil","1751.968mil","3110.236mil","1633.858mil","3110.236mil","T","90.00","NTD20P06LG"
"RS5","FP_0603_RES","1299.213mil","2303.149mil","1299.213mil","2303.15mil","1299.213mil","2338.583mil","T","270.00","20K"
"RS4","FP_2512_RES","1102.362mil","2027.559mil","1102.362mil","2027.559mil","1102.362mil","2157.559mil","T","270.00","0.2R"
"RS3","FP_2512_RES","1259.842mil","2027.559mil","1259.842mil","2027.559mil","1259.842mil","1897.559mil","T","90.00","0.2R"
"RS2","FP_2512_RES","944.882mil","2027.559mil","944.882mil","2027.559mil","944.882mil","2157.559mil","T","270.00","0.2R"
"RS1","FP_2512_RES","1417.323mil","2027.559mil","1417.323mil","2027.559mil","1417.323mil","1897.559mil","T","90.00","0.2R"
"R17","FP_0603_RES","118.11mil","3307.087mil","118.11mil","3307.087mil","153.543mil","3307.087mil","T","180.00","100K"
"R16","FP_0603_RES","905.512mil","2440.945mil","905.512mil","2440.945mil","870.079mil","2440.945mil","T","360.00","1K"
"R15","FP_0603_RES","767.717mil","2440.945mil","767.716mil","2440.945mil","732.284mil","2440.945mil","T","360.00","1K"
"R14","FP_0603_RES","551.181mil","2696.85mil","551.181mil","2696.85mil","515.748mil","2696.85mil","T","360.00","1K"
"R13","FP_0603_RES","551.181mil","2775.591mil","551.181mil","2775.591mil","586.614mil","2775.591mil","T","180.00","1K"
"R12","FP_0603_RES","807.087mil","2992.126mil","807.087mil","2992.126mil","842.52mil","2992.126mil","T","180.00","1K"
"R11","FP_0603_RES","807.087mil","2893.701mil","807.087mil","2893.701mil","842.52mil","2893.701mil","T","180.00","1K"
"R10","FP_0603_RES","275.591mil","2814.961mil","275.591mil","2814.961mil","311.024mil","2814.961mil","T","180.00","1K"
"R9","FP_0603_RES","492.126mil","2440.945mil","492.126mil","2440.945mil","456.693mil","2440.945mil","T","0.00","1K"
"R8","FP_0603_RES","1003.937mil","3169.291mil","1003.937mil","3169.291mil","968.504mil","3169.291mil","T","360.00","1K"
"R7","FP_0603_RES","275.591mil","2736.22mil","275.591mil","2736.22mil","240.158mil","2736.22mil","T","360.00","1K"
