"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U1_4","ANALOG_SOT23-5","3425.197mil","8716.319mil","3425.197mil","8715.787mil","3387.795mil","8768.031mil","B","270.00","MCP6001"
"C1_4","FP_0603_CAP_080","3346.457mil","8715.787mil","3346.457mil","8715.787mil","3346.457mil","8680.354mil","T","90.00","4.7uF"
"C2_4","FP_0603_CAP_080","3582.677mil","8715.787mil","3582.677mil","8715.787mil","3582.677mil","8751.22mil","T","270.00","100nF"
"C3_4","FP_0603_CAP_080","3661.417mil","8715.787mil","3661.417mil","8715.787mil","3661.417mil","8751.22mil","T","270.00","4.7uF"
"C4_4","FP_0603_CAP_080","3779.528mil","8715.787mil","3779.528mil","8715.787mil","3779.528mil","8680.354mil","B","90.00","100nF"
"C5_4","FP_0603_CAP_080","3267.717mil","8715.787mil","3267.717mil","8715.787mil","3267.717mil","8680.354mil","T","90.00","100nF"
"LDO1_4","SUPPLY_SOT23-5","3464.567mil","8715.787mil","3464.567mil","8715.787mil","3501.969mil","8768.031mil","T","270.00","LP2980AIM5-3.3"
"P1_4","HDR1X3","3503.937mil","8873.268mil","3403.937mil","8873.268mil","3403.937mil","8873.268mil","T","360.00","Header 3"
"R1_4","FP_0603_RES","3267.717mil","8676.417mil","3267.716mil","8676.417mil","3232.284mil","8676.417mil","B","360.00","75K"
"R2_4","FP_0603_RES","3267.717mil","8759.843mil","3267.716mil","8759.843mil","3232.284mil","8759.843mil","B","360.00","220K"
"R3_4","FP_0603_RES","3740.157mil","8715.788mil","3740.157mil","8715.787mil","3740.157mil","8680.354mil","T","90.00","1K"
"R4_4","FP_0603_RES","3543.307mil","8720.472mil","3543.307mil","8720.472mil","3543.307mil","8755.905mil","B","270.00","75K"
"R5_4","FP_0603_RES","3622.047mil","8715.787mil","3622.047mil","8715.787mil","3622.047mil","8751.22mil","B","270.00","1K"
"R6_4","FP_0603_RES","3700.787mil","8715.787mil","3700.787mil","8715.787mil","3700.787mil","8751.22mil","B","270.00","75K"
"U1_3","ANALOG_SOT23-5","2637.795mil","8716.319mil","2637.795mil","8715.787mil","2600.394mil","8768.031mil","B","270.00","MCP6001"
