"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P4_1","HDR1X10","1034.252mil","2540.236mil","1034.252mil","2990.236mil","1034.252mil","2990.236mil","T","270.00","Header 10"
"P2_2","HDR1X10","1721.891mil","2540.236mil","1721.891mil","2990.236mil","1721.891mil","2990.236mil","T","270.00","Header 10"
"Y1_2","FP_CRYSTAL_HC49_SMD","1209.646mil","2735.847mil","1209.646mil","2548.347mil","1209.646mil","2548.347mil","B","90.00","8MHz Quartz HC49"
"U1_2","uC_TSSOP20","1382.874mil","2614.961mil","1382.874mil","2589.37mil","1270.669mil","2730.118mil","T","360.00","STM32F030F4P6"
"R3_2","FP_0603_RES","1331.693mil","2708.465mil","1331.693mil","2708.465mil","1331.693mil","2743.898mil","B","270.00","390R"
"R2_2","FP_0603_RES","1194.252mil","2920mil","1194.252mil","2920mil","1229.685mil","2920mil","T","180.00","10k"
"R1_2","FP_0603_RES","1194.252mil","2840mil","1194.252mil","2840mil","1229.685mil","2840mil","T","180.00","10k"
"P3_1","HDR1X2","1400.787mil","2969.291mil","1450.787mil","2969.291mil","1450.787mil","2969.291mil","T","180.00","Header 2"
"P1_2","FP_CONN8_SZK_ALLO","1367.126mil","2288.189mil","1367.126mil","2288.189mil","1217.126mil","2238.189mil","T","360.00","Header 4X2"
"LDO1_1","SUPPLY_SOT23-5","1434.055mil","2819.685mil","1434.055mil","2819.685mil","1396.653mil","2871.929mil","B","270.00","LP2985IM5-3.3"
"C7_2","FP_0603_CAP_080","1554.252mil","2810mil","1554.252mil","2810mil","1554.252mil","2845.433mil","B","270.00","10nF"
"C6_2","FP_0603_CAP_080","1554.252mil","2960mil","1554.252mil","2960mil","1554.252mil","2924.567mil","B","90.00","10uF"
"C5_2","FP_0603_CAP_080","1554.252mil","2660mil","1554.252mil","2660mil","1554.252mil","2695.433mil","B","270.00","10uF"
"C4_2","FP_0603_CAP_080","1332.677mil","2574.606mil","1332.677mil","2574.606mil","1332.677mil","2539.173mil","B","90.00","22p"
"C3_2","FP_0603_CAP_080","1331.693mil","2841.339mil","1331.693mil","2841.339mil","1331.693mil","2805.905mil","B","90.00","22p"
"C2_2","FP_0603_CAP_080","1194.252mil","2990mil","1194.252mil","2990mil","1158.819mil","2990mil","T","360.00","100nF"
"C1_2","SWD","1377.953mil","2115.945mil","1377.953mil","2115.945mil","1177.953mil","2115.945mil","T","90.00","SWD"
"P4","HDR1X10","50mil","2540.236mil","50mil","2990.236mil","50mil","2990.236mil","T","270.00","Header 10"
"P2_1","HDR1X10","737.639mil","2540.236mil","737.639mil","2990.236mil","737.639mil","2990.236mil","T","270.00","Header 10"
"Y1_1","FP_CRYSTAL_HC49_SMD","225.394mil","2735.847mil","225.394mil","2548.347mil","225.394mil","2548.347mil","B","90.00","8MHz Quartz HC49"
"U1_1","uC_TSSOP20","398.622mil","2614.961mil","398.622mil","2589.37mil","286.417mil","2730.118mil","T","360.00","STM32F030F4P6"
"R3_1","FP_0603_RES","347.441mil","2708.465mil","347.441mil","2708.465mil","347.441mil","2743.898mil","B","270.00","390R"
"R2_1","FP_0603_RES","210mil","2920mil","210mil","2920mil","245.433mil","2920mil","T","180.00","10k"
"R1_1","FP_0603_RES","210mil","2840mil","210mil","2840mil","245.433mil","2840mil","T","180.00","10k"
"P3","HDR1X2","416.535mil","2969.291mil","466.535mil","2969.291mil","466.535mil","2969.291mil","T","180.00","Header 2"
"P1_1","FP_CONN8_SZK_ALLO","382.874mil","2288.189mil","382.874mil","2288.189mil","232.874mil","2238.189mil","T","360.00","Header 4X2"
"LDO1","SUPPLY_SOT23-5","449.803mil","2819.685mil","449.803mil","2819.685mil","412.401mil","2871.929mil","B","270.00","LP2985IM5-3.3"
"C7_1","FP_0603_CAP_080","570mil","2810mil","570mil","2810mil","570mil","2845.433mil","B","270.00","10nF"
"C6_1","FP_0603_CAP_080","570mil","2960mil","570mil","2960mil","570mil","2924.567mil","B","90.00","10uF"
